product_id,residual_median,residual_robust_std,residual_pct_median,residual_pct_robust_std,historical_residual_count
P00001,1.0,2.2239,0.044466403162055336,0.10245511067193674,90
P00002,2.0,8.8956,0.017966484047695776,0.08783841281902088,90
P00003,6.0,16.3086,0.02406442901234568,0.0645553465648855,90
P00004,5.5,22.9803,0.02308429628840726,0.09759243242871833,90
P00005,1.0,1.4826,0.058823529411764705,0.08721176470588235,90
P00006,1.0,5.9304,0.06458333333333333,0.39844874999999996,90
P00007,1.0,2.9652,0.03393665158371041,0.11477534920322643,90
P00008,9.0,19.273799999999998,0.04369812040835798,0.09568774517153487,90
P00009,8.0,21.4977,0.04239456993434962,0.11676728038207607,90
P00010,0.0,330.6198,0.0,1.4826,90
P00011,0.0,4.4478,0.0,0.37065,90
P00012,18.0,47.4432,0.04851319940834007,0.1323419354274597,90
P00013,14.5,31.1346,0.06193665158371041,0.1301022629824461,90
P00014,0.0,1.4826,0.0,0.37065,90
P00015,0.5,6.6716999999999995,0.021739130434782608,0.30189173913043477,90
P00016,1.0,2.9652,0.054093567251461985,0.15627991228070176,90
P00017,0.0,1.4826,0.0,0.37065,90
P00018,2.0,29.651999999999997,0.010417797069994574,0.13466738431475767,90
P00019,1.0,1.4826,0.08333333333333333,0.12355,90
P00020,1.0,2.9652,0.041666666666666664,0.11668611111111109,90
P00021,2.5,6.6716999999999995,0.031734132933533235,0.09730665260590045,90
P00022,1.0,2.9652,0.058823529411764705,0.140847,90
P00023,1.0,1.4826,0.07142857142857142,0.1059,90
P00024,0.0,1.0,0.0,0.01,90
P00025,8.5,24.462899999999998,0.034493012191495684,0.0972903126377574,90
P00026,10.0,34.099799999999995,0.027691900623885917,0.09804488751613498,90
P00027,1.0,1.4826,0.09090909090909091,0.1617381818181818,90
P00028,5.0,10.3782,0.04,0.07346614925373134,90
P00029,18.5,37.065,0.05593864339994371,0.11617657909669199,90
P00030,1.0,2.9652,0.10555555555555556,0.39311363636363633,90
P00031,3.5,6.6716999999999995,0.04644321625958281,0.10388966766404026,90
P00032,0.0,1.4826,0.0,0.37065,90
P00033,0.0,1.4826,0.0,0.14826,90
P00034,35.0,60.0453,0.1435708898944193,0.29350113122171945,90
P00035,14.0,44.477999999999994,0.096846524497877,0.3167350221840561,90
P00036,3.5,22.238999999999997,0.04565047021943573,0.27366325,90
P00037,0.0,1.0,0.0,0.01,90
P00038,1.0,1.4826,0.06666666666666667,0.11404615384615385,90
P00039,0.0,119.3493,0.0,0.2634765990107453,90
P00040,1.0,4.4478,0.10555555555555556,0.3632053205128205,90
P00041,1.0,2.9652,0.037037037037037035,0.10982222222222221,90
P00042,4.0,11.119499999999999,0.02821939586645469,0.07959517432800935,90
P00043,0.0,1.4826,0.0,0.29652,90
P00044,14.5,45.2193,0.04709342142367965,0.14572819953696226,90
P00045,1.0,1.4826,0.08333333333333333,0.12355,90
P00046,6.5,22.9803,0.01842206945405954,0.0679955453730285,90
P00047,2.0,5.9304,0.0757142857142857,0.2620112068965517,90
P00048,1.0,4.4478,0.027820121951219513,0.10860906976744186,90
P00049,2.0,2.9652,0.05798319327731093,0.07884884096721691,90
P00050,0.0,1.4826,0.0,0.07413,90
P00051,7.5,20.0151,0.0648854961832061,0.19076169608049118,90
P00052,8.5,14.825999999999999,0.05303828591499824,0.1026019391025641,90
P00053,1.0,1.4826,0.05,0.09060333333333331,90
P00054,1.0,2.9652,0.047619047619047616,0.13959545454545455,90
P00055,1.5,16.3086,0.006388888888888888,0.07039408333333333,90
P00056,5.5,8.1543,0.09230769230769231,0.14059137931034482,90
P00057,0.5,1.0,0.03333333333333333,0.06462615384615385,90
P00058,2.0,2.9652,0.09307359307359307,0.1399965909090909,90
P00059,1.0,1.4826,0.08333333333333333,0.12355,90
P00060,0.0,1.4826,0.0,0.4942,90
P00061,2.0,6.6716999999999995,0.10025062656641603,0.3356844210526316,90
P00062,0.0,1.0,0.0,0.01,90
P00063,26.5,41.5128,0.1014405762304922,0.16091916101754067,90
P00064,2.0,7.412999999999999,0.09545454545454546,0.3268459090909091,90
P00065,0.0,2.9652,0.0,0.28304181818181817,90
P00066,2.5,11.119499999999999,0.01564870259481038,0.06906521739130435,90
P00067,1.0,1.4826,0.07142857142857142,0.1059,90
P00068,4.0,8.8956,0.03692988427501702,0.0986201673669632,90
P00069,1.0,2.9652,0.06666666666666667,0.10814636363636362,90
P00070,10.5,80.8017,0.049165018677213804,0.32128304988806533,90
P00071,0.0,1.0,0.0,0.01,90
P00072,1.0,1.4826,0.05131578947368421,0.0983427399380805,90
P00073,0.0,7.412999999999999,0.0,0.30780991379310346,90
P00074,30.5,53.373599999999996,0.09888963099014861,0.16912741502683362,90
P00075,0.0,1.0,0.0,0.01,90
P00076,13.0,39.2889,0.04050925925925926,0.12183759528759527,90
P00077,-1.0,25.2042,-0.004661246612466125,0.11146697354527557,90
P00078,2.0,4.4478,0.0625,0.13692907754010694,90
P00079,0.0,1.0,0.0,0.01,90
P00080,1.0,4.4478,0.058823529411764705,0.2670860294117647,90
P00081,6.5,15.5673,0.060874168179068364,0.14696395825771325,90
P00082,5.0,7.412999999999999,0.05154639175257732,0.07642268041237113,90
P00083,1.0,1.4826,0.07692307692307693,0.11404615384615385,90
P00084,1.0,2.9652,0.043478260869565216,0.14708333333333332,90
P00085,0.0,1.4826,0.0,0.37065,90
P00086,1.0,1.4826,0.05555555555555555,0.08236666666666666,90
P00087,0.0,1.0,0.0,0.01,90
P00088,1.0,4.4478,0.022474747474747474,0.0862710606060606,90
P00089,5.0,9.636899999999999,0.046536796536796536,0.08526967596759676,90
P00090,4.0,12.6021,0.028594771241830064,0.08566014738378779,90
P00091,0.0,1.4826,0.0,0.14826,90
P00092,0.0,232.76819999999998,0.0,1.4826,90
P00093,6.5,9.636899999999999,0.06711711711711713,0.10594313293237764,90
P00094,5.0,7.412999999999999,0.05131578947368421,0.08479539463121276,90
P00095,0.5,30.3933,0.0010330578512396695,0.06735268395812923,90
P00096,6.0,16.3086,0.022818966639191356,0.06591239719497322,90
P00097,4.0,11.119499999999999,0.039417475728155335,0.10737898587819944,90
P00098,0.0,1.4826,0.0,0.08721176470588235,90
P00099,2.0,2.9652,0.08333333333333333,0.12355,90
P00100,0.0,1.0,0.0,0.01,90
P00101,0.0,1.4826,0.0,0.0706,90
P00102,1.5,40.771499999999996,0.004063678257226644,0.10514089876963907,90
P00103,0.0,1.4826,0.0,0.37065,90
P00104,2.0,8.8956,0.021968787515006,0.1126900114155251,90
P00105,23.0,53.373599999999996,0.07381628787878788,0.16259893968760686,90
P00106,3.0,4.4478,0.23076923076923078,0.37065,90
P00107,0.0,1.0,0.0,0.2471,90
P00108,2.5,23.7216,0.012008939073159256,0.11378257648685876,90
P00109,0.0,1.4826,0.0,0.11404615384615385,90
P00110,1.0,5.9304,0.054411764705882354,0.3147273684210526,90
P00111,1.0,1.4826,0.07179487179487179,0.1064430769230769,90
P00112,2.0,2.9652,0.08166666666666667,0.14262455731225296,90
P00113,-1.0,36.323699999999995,-0.00838902812587023,0.3393658167310933,90
P00114,6.0,14.825999999999999,0.044466403162055336,0.11175395950350182,90
P00115,7.5,12.6021,0.044802867383512544,0.0814947347948098,90
P00116,10.5,35.5824,0.10506082725060828,0.31710494718763416,90
P00117,5.0,11.8608,0.0710112812248187,0.16443381818181818,90
P00118,1.0,2.9652,0.043478260869565216,0.11388086956521737,90
P00119,7.0,14.0847,0.03287258550416445,0.06448809121621621,90
P00120,7.0,23.7216,0.0352066199614174,0.12262911602240462,90
P00121,12.0,25.9455,0.06180784745141181,0.1261340419041904,90
P00122,3.0,5.1891,0.0496172772006561,0.08838620323139817,90
P00123,1.0,1.4826,0.06904761904761905,0.10237,90
P00124,1.0,5.9304,0.09090909090909091,0.2898315789473684,90
P00125,2.0,2.9652,0.09109730848861283,0.17706544622425627,90
P00126,2.0,2.9652,0.06458333333333333,0.09575124999999998,90
P00127,11.0,31.1346,0.047682526661197704,0.1427251951089728,90
P00128,3.0,10.3782,0.03094098883572568,0.10517318856885688,90
P00129,0.0,4.4478,0.0,0.2471,90
P00130,1.0,4.4478,0.01639344262295082,0.07173870967741935,90
P00131,0.0,1.4826,0.0,0.12355,90
P00132,1.0,2.9652,0.1111111111111111,0.33976249999999997,90
P00133,0.0,2.9652,0.0,0.185325,90
P00134,0.0,1.4826,0.0,0.06899545454545454,90
P00135,2.5,11.119499999999999,0.021072374227714033,0.08921529091465066,90
P00136,1.0,1.4826,0.045454545454545456,0.06739090909090908,90
P00137,10.5,24.462899999999998,0.047798698601689046,0.10912717265726819,90
P00138,5.5,26.686799999999998,0.021666152183979007,0.10465613674949836,90
P00139,0.0,7.412999999999999,0.0,0.2851153846153846,90
P00140,1.0,5.9304,0.015625,0.09005361685888738,90
P00141,9.5,14.0847,0.10416666666666667,0.15403636363636364,90
P00142,1.0,1.4826,0.06458333333333333,0.09575124999999998,90
P00143,3.0,13.343399999999999,0.025762936753648828,0.11058737704918033,90
P00144,0.0,1.0,0.0,0.01,90
P00145,1.0,2.9652,0.05263157894736842,0.16715588235294115,90
P00146,1.0,1.4826,0.07142857142857142,0.1059,90
P00147,6.0,7.412999999999999,0.047965457361430514,0.06273870131719704,90
P00148,5.0,16.3086,0.018655811536462844,0.06133172819227111,90
P00149,2.0,4.4478,0.13392857142857142,0.3689528846153846,90
P00150,1.0,2.9652,0.05131578947368421,0.12011805555555555,90
P00151,3.0,8.8956,0.047601199400299846,0.15087355769230767,90
P00152,1.0,1.4826,0.05718954248366013,0.09508504901960785,90
P00153,1.0,4.4478,0.0339080459770115,0.14592368186874305,90
P00154,2.0,10.3782,0.011461412151067323,0.058637723785166226,90
P00155,10.0,37.065,0.0412682221938884,0.140111233729485,90
P00156,1.0,1.4826,0.08333333333333333,0.12355,90
