product_id,demand_class,behavioral_class,selected_model,validation_wape,validation_mae,validation_rmse,validation_mape,validation_bias,validation_windows,history_days,total_demand,average_daily_demand,demand_std,zero_demand_rate
P00001,Seasonal,Continuous,HoltWinters7,0.07458440298534552,1.9948573400759901,2.501408840195921,0.07511643785154755,-0.028734661310373905,3,730,22097.0,30.26986301369863,6.74113114318188,0.0
P00002,Stable,Continuous,HoltWinters7,0.07893244632835607,9.319482264648352,11.482766048501276,0.07909518009180168,-0.0010669509696360224,3,730,84341.0,115.53561643835616,14.645775149483276,0.0
P00003,Stable,Continuous,HoltWinters7,0.04837232597385057,12.402767524743547,15.367540636407917,0.047711098021767616,-0.03039439950612674,3,730,196899.0,269.7246575342466,28.876294884578893,0.0
P00004,Seasonal,Continuous,HoltWinters7,0.06979418351093007,18.332118029801613,22.049539275874896,0.0705617817488694,-0.04001211624095334,3,730,209295.0,286.7054794520548,56.08593345506197,0.0
P00005,Seasonal,Continuous,HoltWinters7,0.15518406554258793,3.468285382090474,4.068952166817812,0.15479992135037204,-0.03853374398972458,3,730,16277.0,22.297260273972604,5.226619441153588,0.0
P00006,Volatile,Continuous,SES,0.23351354122707924,4.037880370233199,5.4534701389932065,0.2209352740892856,-0.09446429739983413,3,730,13055.0,17.883561643835616,4.815256780246147,0.0
P00007,Stable,Continuous,HoltWinters7,0.13971535682819322,3.8601780904952014,4.582627084552175,0.1423687358384765,-0.0368201924720766,3,730,18110.0,24.80821917808219,4.3501021990945485,0.0
P00008,Stable,Continuous,HoltWinters7,0.08454919392054372,19.344425020370803,23.195526774545318,0.08373073290790971,-0.025410311719607198,3,730,164403.0,225.20958904109588,28.382574806436295,0.0
P00009,Trending,Continuous,HoltWinters7,0.07462283996077633,14.557295347386338,18.05700991916188,0.07250602409799006,-0.046565475069935906,3,730,133387.0,182.7219178082192,30.718210157404066,0.0
P00010,Intermittent,Intermittent,Croston,1.2534958072011169,119.2605659136655,125.61742882056315,0.6461283743296115,-0.04381199961107172,3,730,60603.0,83.01780821917808,122.99932956475337,0.6821917808219178
P00011,Volatile,Continuous,SES,0.22620355246047122,2.7124808270875067,3.656955280205691,0.22375422116236476,-0.06339309641756419,3,730,8926.0,12.227397260273973,3.1671002637508843,0.0
P00012,Trending,Continuous,HoltWinters7,0.09439658866285379,36.4363110135504,48.39336162390949,0.08933762622065179,-0.051508500243293,3,730,234466.0,321.18630136986303,62.078766098345895,0.0
P00013,Trending,Continuous,HoltWinters7,0.09522922655785498,26.068386291252978,34.56412974906677,0.09109767015296794,-0.051134931036515674,3,730,167582.0,229.56438356164384,42.94037519207236,0.0
P00014,Volatile,Continuous,Naive,0.22553145823517007,1.0222222222222221,1.258176808997017,0.2691005291005291,0.06887353318277983,3,730,3191.0,4.3712328767123285,1.2540173525330462,0.0
P00015,Volatile,Continuous,SES,0.1916455640007805,5.098123723226549,6.751887742061325,0.18335294002184366,-0.06895863687608807,3,730,19066.0,26.117808219178084,6.7287101119847454,0.0
