product_id,forecast_date,horizon_day,forecast_demand,lower_bound,upper_bound,model,demand_class,behavioral_class
P00001,2027-01-01,1,32.83654308179217,22.45646644573364,43.216619717850705,HoltWinters7,Seasonal,Continuous
P00001,2027-01-02,2,25.239683442320803,14.859606806262272,35.619760078379336,HoltWinters7,Seasonal,Continuous
P00001,2027-01-03,3,20.72044274554572,10.34036610948719,31.10051938160425,HoltWinters7,Seasonal,Continuous
P00001,2027-01-04,4,29.72935598433088,19.349279348272347,40.10943262038941,HoltWinters7,Seasonal,Continuous
P00001,2027-01-05,5,30.326234171369666,19.946157535311137,40.706310807428196,HoltWinters7,Seasonal,Continuous
P00001,2027-01-06,6,29.996541506221337,19.616464870162808,40.37661814227987,HoltWinters7,Seasonal,Continuous
P00001,2027-01-07,7,28.92661419681368,18.546537560755148,39.30669083287221,HoltWinters7,Seasonal,Continuous
P00001,2027-01-08,8,32.83654308179217,22.45646644573364,43.216619717850705,HoltWinters7,Seasonal,Continuous
P00001,2027-01-09,9,25.239683442320803,14.859606806262272,35.619760078379336,HoltWinters7,Seasonal,Continuous
P00001,2027-01-10,10,20.72044274554572,10.34036610948719,31.10051938160425,HoltWinters7,Seasonal,Continuous
P00001,2027-01-11,11,29.72935598433088,19.349279348272347,40.10943262038941,HoltWinters7,Seasonal,Continuous
P00001,2027-01-12,12,30.326234171369666,19.946157535311137,40.706310807428196,HoltWinters7,Seasonal,Continuous
P00001,2027-01-13,13,29.996541506221337,19.616464870162808,40.37661814227987,HoltWinters7,Seasonal,Continuous
P00001,2027-01-14,14,28.92661419681368,18.546537560755148,39.30669083287221,HoltWinters7,Seasonal,Continuous
P00001,2027-01-15,15,32.83654308179217,22.45646644573364,43.216619717850705,HoltWinters7,Seasonal,Continuous
P00001,2027-01-16,16,25.239683442320803,14.859606806262272,35.619760078379336,HoltWinters7,Seasonal,Continuous
P00001,2027-01-17,17,20.72044274554572,10.34036610948719,31.10051938160425,HoltWinters7,Seasonal,Continuous
P00001,2027-01-18,18,29.72935598433088,19.349279348272347,40.10943262038941,HoltWinters7,Seasonal,Continuous
P00001,2027-01-19,19,30.326234171369666,19.946157535311137,40.706310807428196,HoltWinters7,Seasonal,Continuous
P00001,2027-01-20,20,29.996541506221337,19.616464870162808,40.37661814227987,HoltWinters7,Seasonal,Continuous
P00001,2027-01-21,21,28.92661419681368,18.546537560755148,39.30669083287221,HoltWinters7,Seasonal,Continuous
P00001,2027-01-22,22,32.83654308179217,22.45646644573364,43.216619717850705,HoltWinters7,Seasonal,Continuous
P00001,2027-01-23,23,25.239683442320803,14.859606806262272,35.619760078379336,HoltWinters7,Seasonal,Continuous
P00001,2027-01-24,24,20.72044274554572,10.34036610948719,31.10051938160425,HoltWinters7,Seasonal,Continuous
P00001,2027-01-25,25,29.72935598433088,19.349279348272347,40.10943262038941,HoltWinters7,Seasonal,Continuous
P00001,2027-01-26,26,30.326234171369666,19.946157535311137,40.706310807428196,HoltWinters7,Seasonal,Continuous
P00001,2027-01-27,27,29.996541506221337,19.616464870162808,40.37661814227987,HoltWinters7,Seasonal,Continuous
P00001,2027-01-28,28,28.92661419681368,18.546537560755148,39.30669083287221,HoltWinters7,Seasonal,Continuous
P00001,2027-01-29,29,32.83654308179217,22.45646644573364,43.216619717850705,HoltWinters7,Seasonal,Continuous
P00001,2027-01-30,30,25.239683442320803,14.859606806262272,35.619760078379336,HoltWinters7,Seasonal,Continuous
P00002,2027-01-01,1,126.49913243524016,100.75776240426754,152.24050246621277,HoltWinters7,Stable,Continuous
P00002,2027-01-02,2,112.5101387564342,86.76876872546158,138.2515087874068,HoltWinters7,Stable,Continuous
P00002,2027-01-03,3,104.20267554130373,78.46130551033112,129.94404557227634,HoltWinters7,Stable,Continuous
P00002,2027-01-04,4,119.99572721474249,94.25435718376987,145.7370972457151,HoltWinters7,Stable,Continuous
P00002,2027-01-05,5,121.5296718722541,95.78830184128148,147.27104190322672,HoltWinters7,Stable,Continuous
P00002,2027-01-06,6,121.239880220946,95.49851018997339,146.98125025191862,HoltWinters7,Stable,Continuous
P00002,2027-01-07,7,120.4576981896401,94.71632815866748,146.1990682206127,HoltWinters7,Stable,Continuous
P00002,2027-01-08,8,126.49913243524016,100.75776240426754,152.24050246621277,HoltWinters7,Stable,Continuous
P00002,2027-01-09,9,112.5101387564342,86.76876872546158,138.2515087874068,HoltWinters7,Stable,Continuous
P00002,2027-01-10,10,104.20267554130373,78.46130551033112,129.94404557227634,HoltWinters7,Stable,Continuous
